Perioden;Benzine;Diesel;Lpg
2009 maandag 29 juni;1,397;1,036;0,509
2009 dinsdag 30 juni;1,398;1,037;0,508
2009 woensdag 1 juli;1,4;1,038;0,508
2009 donderdag 2 juli;1,401;1,038;0,506
2009 vrijdag 3 juli;1,391;1,029;0,503
2009 zaterdag 4 juli;1,382;1,028;0,506
2009 zondag 5 juli;1,38;1,027;0,5
2009 maandag 6 juli;1,381;1,027;0,505
2009 dinsdag 7 juli;1,373;1,019;0,502
2009 woensdag 8 juli;1,368;1,012;0,502
2009 donderdag 9 juli;1,367;1,01;0,504
2009 vrijdag 10 juli;1,363;1,007;0,504
2009 zaterdag 11 juli;1,359;1,001;0,504
2009 zondag 12 juli;1,358;1;0,501
2009 maandag 13 juli;1,358;0,999;0,504
2009 dinsdag 14 juli;1,358;0,998;0,504
2009 woensdag 15 juli;1,354;0,997;0,499
2009 donderdag 16 juli;1,354;0,997;0,5
2009 vrijdag 17 juli;1,355;0,996;0,501
2009 zaterdag 18 juli;1,356;0,997;0,5
2009 zondag 19 juli;1,356;0,998;0,498
2009 maandag 20 juli;1,356;0,999;0,498
2009 dinsdag 21 juli;1,363;1,004;0,498
2009 woensdag 22 juli;1,364;1,012;0,492
2009 donderdag 23 juli;1,366;1,013;0,49
2009 vrijdag 24 juli;1,377;1,015;0,491
2009 zaterdag 25 juli;1,387;1,026;0,49
2009 zondag 26 juli;1,387;1,026;0,49
2009 maandag 27 juli;1,389;1,027;0,49
2009 dinsdag 28 juli;1,397;1,03;0,493
2009 woensdag 29 juli;1,399;1,033;0,495
2009 donderdag 30 juli;1,399;1,033;0,497
2009 vrijdag 31 juli;1,398;1,032;0,498
2009 zaterdag 1 augustus;1,402;1,031;0,496
2009 zondag 2 augustus;1,402;1,031;0,497
2009 maandag 3 augustus;1,403;1,031;0,499
2009 dinsdag 4 augustus;1,418;1,04;0,498
2009 woensdag 5 augustus;1,426;1,043;0,499
2009 donderdag 6 augustus;1,427;1,046;0,506
2009 vrijdag 7 augustus;1,429;1,05;0,513
2009 zaterdag 8 augustus;1,431;1,055;0,518
2009 zondag 9 augustus;1,43;1,055;0,516
2009 maandag 10 augustus;1,431;1,055;0,518
2009 dinsdag 11 augustus;1,435;1,056;0,52
2009 woensdag 12 augustus;1,445;1,06;0,519
2009 donderdag 13 augustus;1,446;1,062;0,519
2009 vrijdag 14 augustus;1,446;1,062;0,523
2009 zaterdag 15 augustus;1,435;1,06;0,523
2009 zondag 16 augustus;1,434;1,06;0,527
2009 maandag 17 augustus;1,434;1,06;0,522
2009 dinsdag 18 augustus;1,422;1,049;0,525
2009 woensdag 19 augustus;1,419;1,046;0,526
2009 donderdag 20 augustus;1,418;1,047;0,528
2009 vrijdag 21 augustus;1,419;1,048;0,525
2009 zaterdag 22 augustus;1,416;1,049;0,524
2009 zondag 23 augustus;1,415;1,049;0,525
2009 maandag 24 augustus;1,416;1,049;0,526
2009 dinsdag 25 augustus;1,415;1,05;0,524
2009 woensdag 26 augustus;1,415;1,054;0,526
2009 donderdag 27 augustus;1,414;1,051;0,526
2009 vrijdag 28 augustus;1,409;1,049;0,528
2009 zaterdag 29 augustus;1,41;1,047;0,526
2009 zondag 30 augustus;1,409;1,048;0,524
2009 maandag 31 augustus;1,411;1,049;0,525
2009 dinsdag 1 september;1,409;1,048;0,523
2009 woensdag 2 september;1,402;1,042;0,526
2009 donderdag 3 september;1,399;1,036;0,527
2009 vrijdag 4 september;1,398;1,031;0,529
2009 zaterdag 5 september;1,394;1,025;0,529
2009 zondag 6 september;1,393;1,025;0,528
2009 maandag 7 september;1,394;1,026;0,531
2009 dinsdag 8 september;1,388;1,025;0,532
2009 woensdag 9 september;1,383;1,026;0,532
2009 donderdag 10 september;1,384;1,027;0,534
2009 vrijdag 11 september;1,383;1,026;0,535
2009 zaterdag 12 september;1,38;1,024;0,532
2009 zondag 13 september;1,38;1,022;0,531
2009 maandag 14 september;1,38;1,024;0,534
2009 dinsdag 15 september;1,375;1,019;0,535
2009 woensdag 16 september;1,372;1,018;0,531
2009 donderdag 17 september;1,37;1,017;0,532
2009 vrijdag 18 september;1,376;1,021;0,533
2009 zaterdag 19 september;1,381;1,025;0,531
2009 zondag 20 september;1,38;1,025;0,537
2009 maandag 21 september;1,381;1,025;0,531
2009 dinsdag 22 september;1,378;1,023;0,53
2009 woensdag 23 september;1,376;1,022;0,525
2009 donderdag 24 september;1,375;1,022;0,527
2009 vrijdag 25 september;1,366;1,017;0,526
2009 zaterdag 26 september;1,354;1,008;0,529
2009 zondag 27 september;1,354;1,008;0,524
2009 maandag 28 september;1,353;1,007;0,528
2009 dinsdag 29 september;1,347;1,004;0,527
2009 woensdag 30 september;1,344;1,004;0,529
2009 donderdag 1 oktober;1,341;1,004;0,524
2009 vrijdag 2 oktober;1,351;1,016;0,528
2009 zaterdag 3 oktober;1,354;1,019;0,523
2009 zondag 4 oktober;1,354;1,02;0,529
2009 maandag 5 oktober;1,354;1,02;0,527
2009 dinsdag 6 oktober;1,357;1,017;0,526
2009 woensdag 7 oktober;1,36;1,02;0,527
2009 donderdag 8 oktober;1,363;1,024;0,526
2009 vrijdag 9 oktober;1,362;1,022;0,529
2009 zaterdag 10 oktober;1,364;1,024;0,527
2009 zondag 11 oktober;1,363;1,025;0,522
2009 maandag 12 oktober;1,364;1,025;0,529
2009 dinsdag 13 oktober;1,366;1,033;0,53
2009 woensdag 14 oktober;1,366;1,037;0,526
2009 donderdag 15 oktober;1,374;1,043;0,526
2009 vrijdag 16 oktober;1,377;1,044;0,53
2009 zaterdag 17 oktober;1,387;1,053;0,528
2009 zondag 18 oktober;1,387;1,054;0,532
2009 maandag 19 oktober;1,387;1,054;0,533
2009 dinsdag 20 oktober;1,393;1,055;0,531
2009 woensdag 21 oktober;1,397;1,055;0,536
2009 donderdag 22 oktober;1,397;1,056;0,533
2009 vrijdag 23 oktober;1,405;1,064;0,536
2009 zaterdag 24 oktober;1,405;1,064;0,539
2009 zondag 25 oktober;1,405;1,065;0,538
2009 maandag 26 oktober;1,406;1,065;0,539
2009 dinsdag 27 oktober;1,406;1,065;0,543
2009 woensdag 28 oktober;1,406;1,065;0,542
2009 donderdag 29 oktober;1,41;1,067;0,542
2009 vrijdag 30 oktober;1,41;1,068;0,548
2009 zaterdag 31 oktober;1,415;1,067;0,549
2009 zondag 1 november;1,414;1,067;0,544
2009 maandag 2 november;1,415;1,068;0,548
2009 dinsdag 3 november;1,416;1,066;0,548
2009 woensdag 4 november;1,416;1,067;0,549
2009 donderdag 5 november;1,415;1,07;0,551
2009 vrijdag 6 november;1,416;1,07;0,554
2009 zaterdag 7 november;1,413;1,064;0,555
2009 zondag 8 november;1,414;1,064;0,555
2009 maandag 9 november;1,414;1,065;0,554
2009 dinsdag 10 november;1,411;1,062;0,561
2009 woensdag 11 november;1,41;1,062;0,557
2009 donderdag 12 november;1,408;1,062;0,557
2009 vrijdag 13 november;1,408;1,059;0,558
2009 zaterdag 14 november;1,405;1,054;0,56
2009 zondag 15 november;1,403;1,053;0,556
2009 maandag 16 november;1,405;1,055;0,56
2009 dinsdag 17 november;1,403;1,054;0,559
2009 woensdag 18 november;1,406;1,056;0,559
2009 donderdag 19 november;1,412;1,056;0,561
2009 vrijdag 20 november;1,409;1,056;0,563
2009 zaterdag 21 november;1,407;1,055;0,562
2009 zondag 22 november;1,406;1,055;0,566
2009 maandag 23 november;1,408;1,056;0,565
2009 dinsdag 24 november;1,408;1,056;0,565
2009 woensdag 25 november;1,408;1,057;0,566
2009 donderdag 26 november;1,407;1,053;0,567
2009 vrijdag 27 november;1,406;1,05;0,564
2009 zaterdag 28 november;1,402;1,046;0,566
2009 zondag 29 november;1,401;1,046;0,562
2009 maandag 30 november;1,401;1,047;0,563
2009 dinsdag 1 december;1,399;1,047;0,563
2009 woensdag 2 december;1,402;1,052;0,565
2009 donderdag 3 december;1,406;1,055;0,563
2009 vrijdag 4 december;1,405;1,056;0,559
2009 zaterdag 5 december;1,406;1,056;0,563
2009 zondag 6 december;1,406;1,055;0,562
2009 maandag 7 december;1,407;1,057;0,565
2009 dinsdag 8 december;1,406;1,058;0,561
2009 woensdag 9 december;1,405;1,056;0,566
2009 donderdag 10 december;1,402;1,056;0,566
2009 vrijdag 11 december;1,399;1,054;0,567
2009 zaterdag 12 december;1,392;1,048;0,569
2009 zondag 13 december;1,39;1,047;0,563
2009 maandag 14 december;1,391;1,048;0,567
2009 dinsdag 15 december;1,386;1,045;0,567
2009 woensdag 16 december;1,384;1,044;0,568
2009 donderdag 17 december;1,384;1,044;0,568
2009 vrijdag 18 december;1,386;1,047;0,568
2009 zaterdag 19 december;1,387;1,052;0,566
2009 zondag 20 december;1,386;1,052;0,573
2009 maandag 21 december;1,387;1,053;0,571
2009 dinsdag 22 december;1,392;1,059;0,567
2009 woensdag 23 december;1,392;1,059;0,569
2009 donderdag 24 december;1,397;1,061;0,568
2009 vrijdag 25 december;1,4;1,064;0,576
2009 zaterdag 26 december;1,399;1,064;0,572
2009 zondag 27 december;1,401;1,064;0,566
2009 maandag 28 december;1,401;1,065;0,57
2009 dinsdag 29 december;1,407;1,067;0,57
2009 woensdag 30 december;1,414;1,076;0,574
2009 donderdag 31 december;1,418;1,083;0,574
2010 vrijdag 1 januari;1,431;1,091;0,586
2010 zaterdag 2 januari;1,433;1,092;0,59
2010 zondag 3 januari;1,433;1,093;0,591
2010 maandag 4 januari;1,433;1,094;0,592
2010 dinsdag 5 januari;1,44;1,1;0,595
2010 woensdag 6 januari;1,448;1,107;0,607
2010 donderdag 7 januari;1,449;1,108;0,61
2010 vrijdag 8 januari;1,452;1,115;0,614
2010 zaterdag 9 januari;1,452;1,115;0,618
2010 zondag 10 januari;1,452;1,114;0,618
2010 maandag 11 januari;1,454;1,116;0,619
2010 dinsdag 12 januari;1,456;1,116;0,628
2010 woensdag 13 januari;1,456;1,115;0,628
2010 donderdag 14 januari;1,453;1,11;0,63
2010 vrijdag 15 januari;1,449;1,107;0,638
2010 zaterdag 16 januari;1,447;1,101;0,638
2010 zondag 17 januari;1,446;1,101;0,635
2010 maandag 18 januari;1,446;1,102;0,641
2010 dinsdag 19 januari;1,446;1,097;0,642
2010 woensdag 20 januari;1,446;1,096;0,642
2010 donderdag 21 januari;1,448;1,096;0,646
2010 vrijdag 22 januari;1,448;1,095;0,645
2010 zaterdag 23 januari;1,445;1,091;0,646
2010 zondag 24 januari;1,444;1,09;0,638
2010 maandag 25 januari;1,446;1,091;0,642
2010 dinsdag 26 januari;1,438;1,084;0,647
2010 woensdag 27 januari;1,437;1,082;0,648
2010 donderdag 28 januari;1,439;1,082;0,648
2010 vrijdag 29 januari;1,44;1,079;0,643
2010 zaterdag 30 januari;1,438;1,08;0,651
2010 zondag 31 januari;1,437;1,079;0,647
2010 maandag 1 februari;1,439;1,08;0,649
2010 dinsdag 2 februari;1,439;1,079;0,647
2010 woensdag 3 februari;1,443;1,082;0,651
2010 donderdag 4 februari;1,45;1,087;0,653
2010 vrijdag 5 februari;1,449;1,089;0,651
2010 zaterdag 6 februari;1,447;1,086;0,655
2010 zondag 7 februari;1,446;1,084;0,655
2010 maandag 8 februari;1,447;1,085;0,659
2010 dinsdag 9 februari;1,443;1,083;0,657
2010 woensdag 10 februari;1,441;1,077;0,658
2010 donderdag 11 februari;1,44;1,08;0,659
2010 vrijdag 12 februari;1,442;1,086;0,658
2010 zaterdag 13 februari;1,442;1,085;0,656
2010 zondag 14 februari;1,441;1,085;0,659
2010 maandag 15 februari;1,442;1,086;0,658
2010 dinsdag 16 februari;1,445;1,086;0,659
2010 woensdag 17 februari;1,448;1,092;0,657
2010 donderdag 18 februari;1,449;1,096;0,655
2010 vrijdag 19 februari;1,45;1,102;0,654
2010 zaterdag 20 februari;1,459;1,112;0,653
2010 zondag 21 februari;1,459;1,113;0,653
2010 maandag 22 februari;1,46;1,114;0,651
2010 dinsdag 23 februari;1,469;1,124;0,654
2010 woensdag 24 februari;1,471;1,125;0,647
2010 donderdag 25 februari;1,471;1,126;0,651
2010 vrijdag 26 februari;1,476;1,125;0,643
2010 zaterdag 27 februari;1,476;1,125;0,645
2010 zondag 28 februari;1,475;1,124;0,643
2010 maandag 1 maart;1,476;1,125;0,645
2010 dinsdag 2 maart;1,481;1,125;0,643
2010 woensdag 3 maart;1,481;1,126;0,638
2010 donderdag 4 maart;1,487;1,126;0,638
2010 vrijdag 5 maart;1,489;1,126;0,635
2010 zaterdag 6 maart;1,497;1,126;0,636
2010 zondag 7 maart;1,497;1,126;0,635
2010 maandag 8 maart;1,498;1,127;0,639
2010 dinsdag 9 maart;1,504;1,13;0,64
2010 woensdag 10 maart;1,508;1,135;0,644
2010 donderdag 11 maart;1,508;1,134;0,64
2010 vrijdag 12 maart;1,512;1,136;0,643
2010 zaterdag 13 maart;1,513;1,143;0,647
2010 zondag 14 maart;1,512;1,142;0,647
2010 maandag 15 maart;1,514;1,142;0,655
2010 dinsdag 16 maart;1,512;1,141;0,661
2010 woensdag 17 maart;1,51;1,142;0,66
2010 donderdag 18 maart;1,51;1,144;0,658
2010 vrijdag 19 maart;1,512;1,145;0,661
2010 zaterdag 20 maart;1,512;1,145;0,662
2010 zondag 21 maart;1,511;1,145;0,664
2010 maandag 22 maart;1,513;1,146;0,659
2010 dinsdag 23 maart;1,509;1,145;0,659
2010 woensdag 24 maart;1,506;1,145;0,659
2010 donderdag 25 maart;1,511;1,146;0,654
2010 vrijdag 26 maart;1,514;1,146;0,654
2010 zaterdag 27 maart;1,515;1,151;0,651
2010 zondag 28 maart;1,514;1,151;0,65
2010 maandag 29 maart;1,515;1,152;0,653
2010 dinsdag 30 maart;1,515;1,155;0,653
2010 woensdag 31 maart;1,521;1,156;0,652
2010 donderdag 1 april;1,524;1,159;0,648
2010 vrijdag 2 april;1,53;1,168;0,644
2010 zaterdag 3 april;1,53;1,172;0,641
2010 zondag 4 april;1,529;1,171;0,648
2010 maandag 5 april;1,53;1,172;0,644
2010 dinsdag 6 april;1,53;1,173;0,646
2010 woensdag 7 april;1,537;1,185;0,641
2010 donderdag 8 april;1,539;1,186;0,641
2010 vrijdag 9 april;1,539;1,186;0,633
2010 zaterdag 10 april;1,539;1,186;0,634
2010 zondag 11 april;1,537;1,184;0,636
2010 maandag 12 april;1,539;1,187;0,635
2010 dinsdag 13 april;1,536;1,186;0,636
2010 woensdag 14 april;1,529;1,183;0,631
2010 donderdag 15 april;1,528;1,182;0,627
2010 vrijdag 16 april;1,53;1,186;0,629
2010 zaterdag 17 april;1,527;1,183;0,626
2010 zondag 18 april;1,53;1,186;0,624
2010 maandag 19 april;1,53;1,186;0,625
2010 dinsdag 20 april;1,526;1,183;0,626
2010 woensdag 21 april;1,521;1,177;0,625
2010 donderdag 22 april;1,524;1,179;0,623
2010 vrijdag 23 april;1,523;1,18;0,619
2010 zaterdag 24 april;1,528;1,183;0,62
2010 zondag 25 april;1,529;1,185;0,619
2010 maandag 26 april;1,53;1,185;0,622
2010 dinsdag 27 april;1,535;1,19;0,617
2010 woensdag 28 april;1,538;1,193;0,618
2010 donderdag 29 april;1,537;1,194;0,617
2010 vrijdag 30 april;1,538;1,195;0,618
2010 zaterdag 1 mei;1,537;1,194;0,619
2010 zondag 2 mei;1,54;1,196;0,612
2010 maandag 3 mei;1,54;1,197;0,619
2010 dinsdag 4 mei;1,543;1,204;0,618
2010 woensdag 5 mei;1,548;1,212;0,614
2010 donderdag 6 mei;1,548;1,213;0,617
2010 vrijdag 7 mei;1,543;1,207;0,618
2010 zaterdag 8 mei;1,535;1,199;0,616
2010 zondag 9 mei;1,534;1,199;0,615
2010 maandag 10 mei;1,535;1,2;0,62
2010 dinsdag 11 mei;1,532;1,196;0,617
2010 woensdag 12 mei;1,531;1,195;0,621
2010 donderdag 13 mei;1,53;1,196;0,621
2010 vrijdag 14 mei;1,531;1,198;0,619
2010 zaterdag 15 mei;1,533;1,198;0,619
2010 zondag 16 mei;1,533;1,197;0,621
2010 maandag 17 mei;1,533;1,197;0,621
2010 dinsdag 18 mei;1,531;1,196;0,618
2010 woensdag 19 mei;1,527;1,192;0,625
2010 donderdag 20 mei;1,52;1,189;0,63
2010 vrijdag 21 mei;1,518;1,186;0,625
2010 zaterdag 22 mei;1,505;1,173;0,627
2010 zondag 23 mei;1,505;1,172;0,631
2010 maandag 24 mei;1,504;1,172;0,626
2010 dinsdag 25 mei;1,505;1,172;0,628
2010 woensdag 26 mei;1,498;1,165;0,626
2010 donderdag 27 mei;1,497;1,165;0,624
2010 vrijdag 28 mei;1,5;1,166;0,626
2010 zaterdag 29 mei;1,506;1,173;0,626
2010 zondag 30 mei;1,504;1,173;0,629
2010 maandag 31 mei;1,505;1,174;0,624
2010 dinsdag 1 juni;1,508;1,176;0,625
2010 woensdag 2 juni;1,508;1,177;0,622
2010 donderdag 3 juni;1,509;1,176;0,619
2010 vrijdag 4 juni;1,509;1,178;0,622
2010 zaterdag 5 juni;1,518;1,184;0,619
2010 zondag 6 juni;1,518;1,185;0,622
2010 maandag 7 juni;1,519;1,186;0,623
2010 dinsdag 8 juni;1,519;1,186;0,621
2010 woensdag 9 juni;1,518;1,185;0,625
2010 donderdag 10 juni;1,518;1,186;0,624
2010 vrijdag 11 juni;1,519;1,188;0,627
2010 zaterdag 12 juni;1,519;1,191;0,625
2010 zondag 13 juni;1,518;1,19;0,627
2010 maandag 14 juni;1,518;1,191;0,625
2010 dinsdag 15 juni;1,519;1,189;0,625
2010 woensdag 16 juni;1,518;1,188;0,625
2010 donderdag 17 juni;1,518;1,188;0,621
2010 vrijdag 18 juni;1,525;1,194;0,626
2010 zaterdag 19 juni;1,527;1,195;0,627
2010 zondag 20 juni;1,527;1,196;0,625
2010 maandag 21 juni;1,527;1,196;0,625
2010 dinsdag 22 juni;1,528;1,203;0,63
2010 woensdag 23 juni;1,528;1,206;0,629
2010 donderdag 24 juni;1,528;1,206;0,629
2010 vrijdag 25 juni;1,527;1,204;0,63
2010 zaterdag 26 juni;1,522;1,199;0,625
2010 zondag 27 juni;1,522;1,199;0,626
2010 maandag 28 juni;1,522;1,198;0,63
2010 dinsdag 29 juni;1,525;1,198;0,628
2010 woensdag 30 juni;1,525;1,197;0,629
2010 donderdag 1 juli;1,522;1,196;0,627
2010 vrijdag 2 juli;1,516;1,189;0,626
2010 zaterdag 3 juli;1,506;1,18;0,624
2010 zondag 4 juli;1,506;1,179;0,628
2010 maandag 5 juli;1,507;1,179;0,623
2010 dinsdag 6 juli;1,5;1,172;0,623
2010 woensdag 7 juli;1,5;1,168;0,619
2010 donderdag 8 juli;1,498;1,166;0,615
2010 vrijdag 9 juli;1,498;1,166;0,618
2010 zaterdag 10 juli;1,498;1,167;0,609
2010 zondag 11 juli;1,499;1,165;0,62
2010 maandag 12 juli;1,499;1,167;0,612
2010 dinsdag 13 juli;1,499;1,166;0,614
2010 woensdag 14 juli;1,499;1,169;0,612
2010 donderdag 15 juli;1,499;1,171;0,612
2010 vrijdag 16 juli;1,499;1,171;0,614
2010 zaterdag 17 juli;1,497;1,167;0,608
2010 zondag 18 juli;1,498;1,166;0,612
2010 maandag 19 juli;1,498;1,167;0,609
2010 dinsdag 20 juli;1,493;1,164;0,608
2010 woensdag 21 juli;1,49;1,158;0,605
2010 donderdag 22 juli;1,489;1,157;0,605
2010 vrijdag 23 juli;1,49;1,157;0,601
2010 zaterdag 24 juli;1,495;1,161;0,601
2010 zondag 25 juli;1,494;1,161;0,603
2010 maandag 26 juli;1,495;1,161;0,602
2010 dinsdag 27 juli;1,498;1,163;0,603
2010 woensdag 28 juli;1,498;1,166;0,602
2010 donderdag 29 juli;1,499;1,166;0,604
2010 vrijdag 30 juli;1,499;1,167;0,601
2010 zaterdag 31 juli;1,498;1,163;0,598
2010 zondag 1 augustus;1,498;1,163;0,594
2010 maandag 2 augustus;1,499;1,164;0,603
2010 dinsdag 3 augustus;1,498;1,165;0,601
2010 woensdag 4 augustus;1,499;1,165;0,6
2010 donderdag 5 augustus;1,499;1,168;0,601
2010 vrijdag 6 augustus;1,499;1,172;0,6
2010 zaterdag 7 augustus;1,499;1,173;0,603
2010 zondag 8 augustus;1,498;1,173;0,601
2010 maandag 9 augustus;1,5;1,174;0,599
2010 dinsdag 10 augustus;1,498;1,175;0,603
2010 woensdag 11 augustus;1,499;1,176;0,603
2010 donderdag 12 augustus;1,499;1,177;0,607
2010 vrijdag 13 augustus;1,499;1,177;0,597
2010 zaterdag 14 augustus;1,494;1,171;0,603
2010 zondag 15 augustus;1,494;1,171;0,602
2010 maandag 16 augustus;1,494;1,171;0,6
2010 dinsdag 17 augustus;1,492;1,168;0,601
2010 woensdag 18 augustus;1,489;1,167;0,601
2010 donderdag 19 augustus;1,489;1,167;0,601
2010 vrijdag 20 augustus;1,489;1,167;0,602
2010 zaterdag 21 augustus;1,487;1,167;0,603
2010 zondag 22 augustus;1,489;1,166;0,604
2010 maandag 23 augustus;1,489;1,167;0,6
2010 dinsdag 24 augustus;1,486;1,167;0,603
2010 woensdag 25 augustus;1,482;1,166;0,604
2010 donderdag 26 augustus;1,479;1,16;0,606
2010 vrijdag 27 augustus;1,479;1,16;0,605
2010 zaterdag 28 augustus;1,479;1,161;0,604
2010 zondag 29 augustus;1,479;1,162;0,606
2010 maandag 30 augustus;1,478;1,161;0,604
2010 dinsdag 31 augustus;1,479;1,164;0,611
2010 woensdag 1 september;1,483;1,168;0,611
2010 donderdag 2 september;1,486;1,169;0,608
2010 vrijdag 3 september;1,486;1,166;0,609
2010 zaterdag 4 september;1,487;1,166;0,612
2010 zondag 5 september;1,487;1,166;0,615
2010 maandag 6 september;1,488;1,167;0,617
2010 dinsdag 7 september;1,488;1,166;0,614
2010 woensdag 8 september;1,488;1,166;0,622
2010 donderdag 9 september;1,493;1,172;0,627
2010 vrijdag 10 september;1,497;1,176;0,628
2010 zaterdag 11 september;1,504;1,183;0,628
2010 zondag 12 september;1,505;1,183;0,635
2010 maandag 13 september;1,506;1,184;0,634
2010 dinsdag 14 september;1,508;1,186;0,637
2010 woensdag 15 september;1,508;1,186;0,642
2010 donderdag 16 september;1,507;1,185;0,642
2010 vrijdag 17 september;1,508;1,186;0,642
2010 zaterdag 18 september;1,507;1,185;0,645
2010 zondag 19 september;1,507;1,185;0,64
2010 maandag 20 september;1,508;1,186;0,646
2010 dinsdag 21 september;1,507;1,185;0,646
2010 woensdag 22 september;1,508;1,186;0,645
2010 donderdag 23 september;1,505;1,183;0,644
2010 vrijdag 24 september;1,494;1,177;0,647
2010 zaterdag 25 september;1,489;1,176;0,645
2010 zondag 26 september;1,488;1,175;0,648
2010 maandag 27 september;1,489;1,176;0,645
2010 dinsdag 28 september;1,488;1,176;0,65
2010 woensdag 29 september;1,481;1,171;0,645
2010 donderdag 30 september;1,479;1,167;0,645
2010 vrijdag 1 oktober;1,479;1,168;0,642
2010 zaterdag 2 oktober;1,48;1,176;0,643
2010 zondag 3 oktober;1,479;1,175;0,641
2010 maandag 4 oktober;1,48;1,177;0,64
2010 dinsdag 5 oktober;1,487;1,184;0,64
2010 woensdag 6 oktober;1,488;1,185;0,641
2010 donderdag 7 oktober;1,488;1,185;0,638
2010 vrijdag 8 oktober;1,489;1,185;0,641
2010 zaterdag 9 oktober;1,49;1,184;0,639
2010 zondag 10 oktober;1,491;1,185;0,638
2010 maandag 11 oktober;1,492;1,185;0,642
2010 dinsdag 12 oktober;1,497;1,186;0,638
2010 woensdag 13 oktober;1,498;1,185;0,643
2010 donderdag 14 oktober;1,498;1,186;0,641
2010 vrijdag 15 oktober;1,498;1,186;0,644
2010 zaterdag 16 oktober;1,497;1,185;0,64
2010 zondag 17 oktober;1,496;1,185;0,646
2010 maandag 18 oktober;1,498;1,186;0,643
2010 dinsdag 19 oktober;1,499;1,185;0,641
2010 woensdag 20 oktober;1,501;1,185;0,645
2010 donderdag 21 oktober;1,502;1,185;0,644
2010 vrijdag 22 oktober;1,498;1,185;0,645
2010 zaterdag 23 oktober;1,497;1,184;0,643
2010 zondag 24 oktober;1,497;1,185;0,65
2010 maandag 25 oktober;1,497;1,186;0,647
2010 dinsdag 26 oktober;1,497;1,185;0,648
2010 woensdag 27 oktober;1,498;1,186;0,652
2010 donderdag 28 oktober;1,498;1,185;0,652
2010 vrijdag 29 oktober;1,498;1,186;0,653
2010 zaterdag 30 oktober;1,495;1,185;0,65
2010 zondag 31 oktober;1,494;1,184;0,65
2010 maandag 1 november;1,496;1,185;0,655
2010 dinsdag 2 november;1,494;1,185;0,656
2010 woensdag 3 november;1,49;1,185;0,655
2010 donderdag 4 november;1,49;1,185;0,661
2010 vrijdag 5 november;1,491;1,185;0,663
2010 zaterdag 6 november;1,496;1,186;0,664
2010 zondag 7 november;1,495;1,186;0,663
2010 maandag 8 november;1,495;1,187;0,662
2010 dinsdag 9 november;1,499;1,19;0,664
2010 woensdag 10 november;1,501;1,195;0,669
2010 donderdag 11 november;1,503;1,2;0,67
2010 vrijdag 12 november;1,51;1,209;0,674
2010 zaterdag 13 november;1,513;1,208;0,677
2010 zondag 14 november;1,513;1,208;0,681
2010 maandag 15 november;1,514;1,209;0,675
2010 dinsdag 16 november;1,517;1,212;0,686
2010 woensdag 17 november;1,517;1,212;0,684
2010 donderdag 18 november;1,516;1,212;0,69
2010 vrijdag 19 november;1,516;1,209;0,69
2010 zaterdag 20 november;1,512;1,206;0,689
2010 zondag 21 november;1,511;1,205;0,689
2010 maandag 22 november;1,513;1,206;0,695
2010 dinsdag 23 november;1,51;1,203;0,694
2010 woensdag 24 november;1,508;1,199;0,695
2010 donderdag 25 november;1,507;1,199;0,696
2010 vrijdag 26 november;1,514;1,206;0,7
2010 zaterdag 27 november;1,517;1,207;0,701
2010 zondag 28 november;1,517;1,207;0,701
2010 maandag 29 november;1,517;1,208;0,704
2010 dinsdag 30 november;1,525;1,214;0,707
2010 woensdag 1 december;1,534;1,224;0,707
2010 donderdag 2 december;1,538;1,227;0,716
2010 vrijdag 3 december;1,549;1,235;0,724
2010 zaterdag 4 december;1,561;1,24;0,735
2010 zondag 5 december;1,56;1,24;0,731
2010 maandag 6 december;1,562;1,241;0,733
2010 dinsdag 7 december;1,569;1,246;0,739
2010 woensdag 8 december;1,571;1,246;0,751
2010 donderdag 9 december;1,571;1,245;0,753
2010 vrijdag 10 december;1,571;1,245;0,752
2010 zaterdag 11 december;1,571;1,245;0,757
2010 zondag 12 december;1,571;1,244;0,754
2010 maandag 13 december;1,571;1,245;0,756
2010 dinsdag 14 december;1,574;1,249;0,759
2010 woensdag 15 december;1,572;1,25;0,761
2010 donderdag 16 december;1,568;1,251;0,76
2010 vrijdag 17 december;1,568;1,253;0,76
2010 zaterdag 18 december;1,568;1,253;0,759
2010 zondag 19 december;1,567;1,254;0,763
2010 maandag 20 december;1,568;1,254;0,761
2010 dinsdag 21 december;1,57;1,255;0,762
2010 woensdag 22 december;1,571;1,255;0,764
2010 donderdag 23 december;1,573;1,259;0,755
2010 vrijdag 24 december;1,577;1,263;0,76
2010 zaterdag 25 december;1,579;1,264;0,765
2010 zondag 26 december;1,579;1,265;0,76
2010 maandag 27 december;1,58;1,266;0,762
2010 dinsdag 28 december;1,582;1,267;0,762
2010 woensdag 29 december;1,584;1,266;0,765
2010 donderdag 30 december;1,584;1,268;0,765
2010 vrijdag 31 december;1,584;1,269;0,764
2011 zaterdag 1 januari;1,583;1,268;0,775
2011 zondag 2 januari;1,583;1,269;0,763
2011 maandag 3 januari;1,585;1,269;0,765
2011 dinsdag 4 januari;1,588;1,273;0,769
2011 woensdag 5 januari;1,587;1,273;0,769
2011 donderdag 6 januari;1,587;1,273;0,764
2011 vrijdag 7 januari;1,589;1,277;0,771
2011 zaterdag 8 januari;1,593;1,279;0,766
