Perioden;Benzine;Diesel;Lpg
2006 maandag 8 mei;1,44;1,073;0,503
2006 dinsdag 9 mei;1,437;1,069;0,502
2006 woensdag 10 mei;1,43;1,066;0,501
2006 donderdag 11 mei;1,428;1,067;0,502
2006 vrijdag 12 mei;1,444;1,081;0,503
2006 zaterdag 13 mei;1,451;1,084;0,502
2006 zondag 14 mei;1,451;1,083;0,5
2006 maandag 15 mei;1,452;1,084;0,501
2006 dinsdag 16 mei;1,445;1,076;0,502
2006 woensdag 17 mei;1,433;1,069;0,498
2006 donderdag 18 mei;1,426;1,068;0,501
2006 vrijdag 19 mei;1,416;1,062;0,498
2006 zaterdag 20 mei;1,419;1,067;0,496
2006 zondag 21 mei;1,417;1,067;0,497
2006 maandag 22 mei;1,418;1,068;0,497
2006 dinsdag 23 mei;1,414;1,064;0,5
2006 woensdag 24 mei;1,418;1,065;0,497
2006 donderdag 25 mei;1,422;1,066;0,496
2006 vrijdag 26 mei;1,421;1,066;0,493
2006 zaterdag 27 mei;1,423;1,066;0,494
2006 zondag 28 mei;1,423;1,065;0,495
2006 maandag 29 mei;1,423;1,067;0,496
2006 dinsdag 30 mei;1,43;1,071;0,494
2006 woensdag 31 mei;1,435;1,075;0,49
2006 donderdag 1 juni;1,437;1,075;0,492
2006 vrijdag 2 juni;1,436;1,076;0,495
2006 zaterdag 3 juni;1,446;1,074;0,491
2006 zondag 4 juni;1,446;1,073;0,49
2006 maandag 5 juni;1,446;1,073;0,491
2006 dinsdag 6 juni;1,447;1,074;0,493
2006 woensdag 7 juni;1,453;1,081;0,49
2006 donderdag 8 juni;1,454;1,082;0,493
2006 vrijdag 9 juni;1,449;1,078;0,492
2006 zaterdag 10 juni;1,45;1,077;0,488
2006 zondag 11 juni;1,449;1,078;0,49
2006 maandag 12 juni;1,45;1,079;0,49
2006 dinsdag 13 juni;1,457;1,093;0,494
2006 woensdag 14 juni;1,454;1,091;0,494
2006 donderdag 15 juni;1,442;1,087;0,499
2006 vrijdag 16 juni;1,437;1,082;0,498
2006 zaterdag 17 juni;1,436;1,078;0,499
2006 zondag 18 juni;1,437;1,081;0,497
2006 maandag 19 juni;1,437;1,081;0,501
2006 dinsdag 20 juni;1,432;1,076;0,497
2006 woensdag 21 juni;1,43;1,074;0,497
2006 donderdag 22 juni;1,427;1,069;0,499
2006 vrijdag 23 juni;1,436;1,074;0,495
2006 zaterdag 24 juni;1,438;1,074;0,494
2006 zondag 25 juni;1,437;1,074;0,493
2006 maandag 26 juni;1,438;1,075;0,498
2006 dinsdag 27 juni;1,446;1,077;0,499
2006 woensdag 28 juni;1,456;1,083;0,502
2006 donderdag 29 juni;1,456;1,084;0,506
2006 vrijdag 30 juni;1,458;1,085;0,505
2006 zaterdag 1 juli;1,459;1,086;0,503
2006 zondag 2 juli;1,459;1,085;0,505
2006 maandag 3 juli;1,459;1,086;0,505
2006 dinsdag 4 juli;1,461;1,086;0,504
2006 woensdag 5 juli;1,463;1,086;0,506
2006 donderdag 6 juli;1,462;1,085;0,51
2006 vrijdag 7 juli;1,469;1,086;0,509
2006 zaterdag 8 juli;1,475;1,088;0,507
2006 zondag 9 juli;1,474;1,088;0,508
2006 maandag 10 juli;1,474;1,088;0,511
2006 dinsdag 11 juli;1,47;1,081;0,509
2006 woensdag 12 juli;1,468;1,077;0,508
2006 donderdag 13 juli;1,468;1,076;0,513
2006 vrijdag 14 juli;1,477;1,082;0,51
2006 zaterdag 15 juli;1,484;1,089;0,512
2006 zondag 16 juli;1,484;1,089;0,507
2006 maandag 17 juli;1,482;1,089;0,512
2006 dinsdag 18 juli;1,49;1,096;0,517
2006 woensdag 19 juli;1,49;1,096;0,518
2006 donderdag 20 juli;1,488;1,094;0,521
2006 vrijdag 21 juli;1,482;1,086;0,52
2006 zaterdag 22 juli;1,479;1,082;0,522
2006 zondag 23 juli;1,477;1,081;0,52
2006 maandag 24 juli;1,478;1,081;0,523
2006 dinsdag 25 juli;1,477;1,077;0,521
2006 woensdag 26 juli;1,483;1,08;0,526
2006 donderdag 27 juli;1,484;1,081;0,532
2006 vrijdag 28 juli;1,483;1,08;0,53
2006 zaterdag 29 juli;1,484;1,08;0,529
2006 zondag 30 juli;1,484;1,081;0,529
2006 maandag 31 juli;1,484;1,081;0,528
2006 dinsdag 1 augustus;1,475;1,081;0,533
2006 woensdag 2 augustus;1,475;1,088;0,534
2006 donderdag 3 augustus;1,474;1,092;0,532
2006 vrijdag 4 augustus;1,484;1,099;0,536
2006 zaterdag 5 augustus;1,486;1,1;0,532
2006 zondag 6 augustus;1,487;1,1;0,534
2006 maandag 7 augustus;1,487;1,101;0,534
2006 dinsdag 8 augustus;1,487;1,1;0,535
2006 woensdag 9 augustus;1,479;1,101;0,535
2006 donderdag 10 augustus;1,475;1,101;0,534
2006 vrijdag 11 augustus;1,46;1,1;0,536
2006 zaterdag 12 augustus;1,451;1,101;0,532
2006 zondag 13 augustus;1,449;1,101;0,53
2006 maandag 14 augustus;1,449;1,101;0,534
2006 dinsdag 15 augustus;1,442;1,091;0,533
2006 woensdag 16 augustus;1,435;1,092;0,531
2006 donderdag 17 augustus;1,43;1,091;0,529
2006 vrijdag 18 augustus;1,419;1,085;0,533
2006 zaterdag 19 augustus;1,413;1,082;0,533
2006 zondag 20 augustus;1,412;1,082;0,536
2006 maandag 21 augustus;1,412;1,082;0,53
2006 dinsdag 22 augustus;1,411;1,082;0,532
2006 woensdag 23 augustus;1,405;1,085;0,534
2006 donderdag 24 augustus;1,402;1,086;0,532
2006 vrijdag 25 augustus;1,393;1,086;0,532
2006 zaterdag 26 augustus;1,389;1,086;0,533
2006 zondag 27 augustus;1,389;1,085;0,531
2006 maandag 28 augustus;1,389;1,086;0,529
2006 dinsdag 29 augustus;1,389;1,087;0,534
2006 woensdag 30 augustus;1,381;1,081;0,532
2006 donderdag 31 augustus;1,373;1,08;0,536
2006 vrijdag 1 september;1,371;1,08;0,532
2006 zaterdag 2 september;1,367;1,08;0,531
2006 zondag 3 september;1,366;1,08;0,533
2006 maandag 4 september;1,367;1,08;0,533
2006 dinsdag 5 september;1,351;1,067;0,531
2006 woensdag 6 september;1,349;1,064;0,534
2006 donderdag 7 september;1,344;1,06;0,536
2006 vrijdag 8 september;1,34;1,054;0,534
2006 zaterdag 9 september;1,338;1,052;0,536
2006 zondag 10 september;1,338;1,053;0,533
2006 maandag 11 september;1,338;1,053;0,535
2006 dinsdag 12 september;1,329;1,038;0,535
2006 woensdag 13 september;1,328;1,035;0,532
2006 donderdag 14 september;1,322;1,024;0,537
2006 vrijdag 15 september;1,32;1,014;0,533
2006 zaterdag 16 september;1,317;1,003;0,536
2006 zondag 17 september;1,316;1,003;0,534
2006 maandag 18 september;1,317;1,003;0,534
2006 dinsdag 19 september;1,315;1,001;0,535
2006 woensdag 20 september;1,318;1,005;0,534
2006 donderdag 21 september;1,313;1,005;0,53
2006 vrijdag 22 september;1,3;0,997;0,529
2006 zaterdag 23 september;1,299;0,995;0,531
2006 zondag 24 september;1,298;0,994;0,526
2006 maandag 25 september;1,298;0,995;0,531
2006 dinsdag 26 september;1,291;0,989;0,53
2006 woensdag 27 september;1,29;0,988;0,523
2006 donderdag 28 september;1,293;0,992;0,52
